PWSID,PWS_NAME,CITY_SERVED,STATE,STATE_NAME,PWS_TYPE_CODE,PWS_TYPE_SHORT,SOURCE_WATER,PWS_SIZE,POPULATION_SERVED_COUNT,FISCAL_YEAR,VIOLATION_NAME,VIOLATION_ID,RULE_NAME,BEGIN_YEAR,END_YEAR,RTC_YEAR,ACUTE_HEALTH_BASED,HEALTH_BASED,MONITORING_REPORTING,PUBLIC_NOTIF_OTHER
MN1090010,MN Correctional Facility - Moose Lake,,MN,Minnesota,CWS,Community,GW,Small,975,2015,Monitoring and Reporting (DBP),47736,St1 DBP,2014,2014,2015,N,N,Y,N
MN1090010,MN Correctional Facility - Moose Lake,,MN,Minnesota,CWS,Community,GW,Small,975,2015,"Monitoring, Routine Major (TCR)",47661,TCR,2014,2014,2015,N,N,Y,N
MN1040030,Grass Lake Mobile Home Park,,MN,Minnesota,CWS,Community,GW,Very Small,80,2013,"Monitoring, Regular",44452,Nitrates,2012,2013,2013,N,N,Y,N
MN1040030,Grass Lake Mobile Home Park,,MN,Minnesota,CWS,Community,GW,Very Small,80,2012,"Monitoring, Regular",44452,Nitrates,2012,2013,2013,N,N,Y,N
MN1040031,Oak Hills Fellowship Bible College,,MN,Minnesota,CWS,Community,GW,Very Small,225,2014,"MCL, Monthly (TCR)",46302,TCR,2014,2014,2014,N,Y,N,N
MN1050001,Foley,Foley,MN,Minnesota,CWS,Community,GW,Small,2636,2012,"MCL, Acute (TCR)",41660,TCR,2012,2012,2012,Y,Y,N,N
MN1060006,Johnson,Johnson,MN,Minnesota,CWS,Community,GW,Very Small,32,2012,"MCL, Monthly (TCR)",41661,TCR,2011,2011,2012,N,Y,N,N
MN1060006,Johnson,Johnson,MN,Minnesota,CWS,Community,GW,Very Small,32,2011,"MCL, Monthly (TCR)",41661,TCR,2011,2011,2012,N,Y,N,N
MN1060006,Johnson,Johnson,MN,Minnesota,CWS,Community,GW,Very Small,32,2011,"MCL, Monthly (TCR)",40520,TCR,2011,2011,2011,N,Y,N,N
MN1050009,Benton Utilities LLC,,MN,Minnesota,CWS,Community,GW,Very Small,120,2014,Lead Consumer Notice,46298,LCR,2014,2014,2014,N,N,Y,N
MN1060008,Ortonville,Ortonville,MN,Minnesota,CWS,Community,GW,Small,1916,2013,Monitoring and Reporting (DBP),44524,St1 DBP,2013,2013,2013,N,N,Y,N
MN1060008,Ortonville,Ortonville,MN,Minnesota,CWS,Community,GW,Small,1916,2013,"Monitoring, Routine Minor (TCR)",44454,TCR,2013,2013,2013,N,N,Y,N
